flight_number,status,airline_name,origin_name,scheduled_arrival_utc,revised_arrival_utc,origin_icao,airline_icao,delay_minutes,ingested_at,status_bucket
FR 5144,expected,Ryanair,Lamezia Terme,2026-03-20 17:40:00+00:00,2026-03-20 17:31:00+00:00,LICA,RYR,-9.0,2026-03-20 17:35:34.432582+00:00,on_time
A3 868,expected,Aegean,Athens,2026-03-20 17:55:00+00:00,2026-03-20 17:40:00+00:00,LGAV,AEE,-15.0,2026-03-20 17:35:34.432582+00:00,on_time
FR 4504,expected,Ryanair,Gran Canaria Island,2026-03-20 17:30:00+00:00,2026-03-20 17:42:00+00:00,GCLP,RYR,12.0,2026-03-20 17:35:34.432582+00:00,on_time
FR 3038,expected,Ryanair,Treviso,2026-03-20 17:30:00+00:00,2026-03-20 17:42:00+00:00,LIPH,RYR,12.0,2026-03-20 17:35:34.432582+00:00,on_time
U2 8821,expected,easyJet,London,2026-03-20 17:25:00+00:00,2026-03-20 17:46:00+00:00,EGKK,EZY,21.0,2026-03-20 17:35:34.432582+00:00,delayed
LH 1368,expected,Lufthansa,Frankfurt-am-Main,2026-03-20 17:40:00+00:00,2026-03-20 17:48:00+00:00,EDDF,DLH,8.0,2026-03-20 17:35:34.432582+00:00,on_time
LS 1251,delayed,Jet2,Birmingham,2026-03-20 16:50:00+00:00,2026-03-20 17:49:00+00:00,EGBB,EXS,59.0,2026-03-20 17:35:34.432582+00:00,delayed
KL 1329,expected,KLM,Amsterdam,2026-03-20 17:50:00+00:00,2026-03-20 18:00:00+00:00,EHAM,KLM,10.0,2026-03-20 17:35:34.432582+00:00,on_time
W6 2092,expected,Wizz Air,Lyon,2026-03-20 17:50:00+00:00,2026-03-20 18:04:00+00:00,LFLL,WZZ,14.0,2026-03-20 17:35:34.432582+00:00,on_time
LS 113,expected,Jet2,Glasgow,2026-03-20 18:10:00+00:00,2026-03-20 18:11:00+00:00,EGPF,EXS,1.0,2026-03-20 17:35:34.432582+00:00,on_time
LS 949,delayed,Jet2,Manchester,2026-03-20 17:35:00+00:00,2026-03-20 18:12:00+00:00,EGCC,EXS,37.0,2026-03-20 17:35:34.432582+00:00,delayed
FR 2351,delayed,Ryanair,London,2026-03-20 16:55:00+00:00,2026-03-20 18:13:00+00:00,EGGW,RYR,78.0,2026-03-20 17:35:34.432582+00:00,delayed
LX 1372,expected,SWISS,Zurich,2026-03-20 18:25:00+00:00,2026-03-20 18:19:00+00:00,LSZH,SWR,-6.0,2026-03-20 17:35:34.432582+00:00,on_time
U2 1353,expected,easyJet,Geneva,2026-03-20 18:45:00+00:00,2026-03-20 18:34:00+00:00,LSGG,EZY,-11.0,2026-03-20 17:35:34.432582+00:00,on_time
SK 1799,expected,SAS,Copenhagen,2026-03-20 18:50:00+00:00,2026-03-20 18:50:00+00:00,EKCH,SAS,0.0,2026-03-20 17:35:34.432582+00:00,on_time
LO 3508,expected,LOT - Polish,Olsztyn-Mazury,2026-03-20 18:50:00+00:00,2026-03-20 18:50:00+00:00,,LOT,0.0,2026-03-20 17:35:34.432582+00:00,on_time
FR 1901,expected,Ryanair,Dublin,2026-03-20 18:50:00+00:00,2026-03-20 19:00:00+00:00,EIDW,RYR,10.0,2026-03-20 17:35:34.432582+00:00,on_time
FR 43,delayed,Ryanair,Eindhoven,2026-03-20 19:00:00+00:00,2026-03-20 19:03:00+00:00,EHEH,RYR,3.0,2026-03-20 17:35:34.432582+00:00,on_time
FR 2175,expected,Ryanair,Memmingen,2026-03-20 19:05:00+00:00,2026-03-20 19:05:00+00:00,EDJA,RYR,0.0,2026-03-20 17:35:34.432582+00:00,on_time
